-----------  Configuration Arguments -----------
adam_epsilon: 1e-06
batch_size: 16
device: gpu
learning_rate: 4e-05
logging_steps: 10
lr_scheduler: 1
max_seq_length: 128
max_steps: -1
model_name_or_path: /home/xianglingyang/pretrained_models/paddle/squeezebert
model_type: squeezebert
num_train_epochs: 5
output_dir: ./tmp/QQP/
save_steps: 2000
seed: 5
task_name: QQP
warmup_proportion: 0
warmup_steps: 0
weight_decay: 0.0
------------------------------------------------
2021-08-19 15:45:45,295-INFO: unique_endpoints {''}
2021-08-19 15:45:46,298-INFO: unique_endpoints {''}
W0819 15:45:46.408764 31020 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 10.1, Runtime API Version: 10.1
W0819 15:45:46.413388 31020 device_context.cc:422] device: 0, cuDNN Version: 7.6.
[32m[2021-08-19 15:45:50,572] [    INFO][0m - Weights of SqueezeBertForSequenceClassification not initialized from pretrained model: ['classifier.weight', 'classifier.bias'][0m
global step 870/113705, epoch: 0, batch: 869, rank_id: 0, loss: 0.301701, lr: 0.0000396939, speed: 4.5974 step/s
global step 880/113705, epoch: 0, batch: 879, rank_id: 0, loss: 0.203953, lr: 0.0000396904, speed: 4.5355 step/s
global step 890/113705, epoch: 0, batch: 889, rank_id: 0, loss: 0.381977, lr: 0.0000396869, speed: 4.5027 step/s
global step 900/113705, epoch: 0, batch: 899, rank_id: 0, loss: 0.430526, lr: 0.0000396834, speed: 4.2340 step/s
global step 910/113705, epoch: 0, batch: 909, rank_id: 0, loss: 0.190705, lr: 0.0000396799, speed: 4.7266 step/s
global step 920/113705, epoch: 0, batch: 919, rank_id: 0, loss: 0.384115, lr: 0.0000396764, speed: 4.7349 step/s
global step 930/113705, epoch: 0, batch: 929, rank_id: 0, loss: 0.335922, lr: 0.0000396728, speed: 4.4529 step/s
global step 940/113705, epoch: 0, batch: 939, rank_id: 0, loss: 0.387594, lr: 0.0000396693, speed: 4.5262 step/s
global step 950/113705, epoch: 0, batch: 949, rank_id: 0, loss: 0.284427, lr: 0.0000396658, speed: 4.5743 step/s
global step 960/113705, epoch: 0, batch: 959, rank_id: 0, loss: 0.506714, lr: 0.0000396623, speed: 4.7177 step/s
global step 970/113705, epoch: 0, batch: 969, rank_id: 0, loss: 0.333837, lr: 0.0000396588, speed: 4.8509 step/s
global step 980/113705, epoch: 0, batch: 979, rank_id: 0, loss: 0.261109, lr: 0.0000396552, speed: 4.5102 step/s
